kreatinin,hemoglobin,hematokrit yuzdesi,eritrosit sayisi,lokosit sayisi,trombosit sayisi,alanin - alt,aspartat - ast,ure,albumin,glikoz,sodyum,potasyum,klorur,oksijen doygunlugu - spo₂,Saglik_Durumu
0.6,16.1,49.51,6.18,13.52,191.65,42.71,29.27,12.79,0,77.81,141.64,0,109.16,98.48,11
1.12,12.37,39.09,7.91,14.23,261.77,39.55,28.8,25.1,2.88,88.58,150.04,6.99,108.29,98.55,11
3.74,0,43.18,6.24,10.24,0,133.8,94.0,12.93,0,105.23,147.18,4.68,105.87,95.37,2
0.94,0,37.59,5.68,18.91,296.49,38.26,48.37,0,3.45,109.36,153.68,4.42,107.08,96.25,5
0.83,9.69,53.6,7.19,10.64,182.67,85.87,37.38,8.58,3.11,113.42,138.83,5.39,100.56,97.32,3
1.78,0,44.65,6.55,12.56,317.8,0,17.38,7.44,3.31,150.79,138.22,5.8,116.56,0,8
2.77,16.12,48.91,7.45,11.78,198.17,131.03,0,8.42,2.98,102.1,148.19,3.82,110.88,98.48,2
0,19.32,46.98,6.09,0,0,65.38,49.52,0,3.65,84.06,139.44,4.68,103.16,95.31,4
1.18,13.76,44.88,0,13.44,369.43,48.55,19.3,16.64,0,77.6,152.09,4.79,106.89,97.23,9
0.79,16.36,53.9,6.32,9.16,0,36.98,21.52,12.94,0,89.64,122.79,4.62,100.72,97.07,10
1.34,16.55,0,7.1,11.29,279.03,0,106.3,11.01,3.98,103.88,142.52,4.84,0,96.94,7
2.61,14.36,48.43,5.72,11.21,334.18,143.21,111.57,25.83,3.22,90.66,145.62,4.98,116.66,95.02,2
1.73,12.96,51.5,8.29,14.32,189.42,96.39,63.75,24.78,0,93.96,146.24,4.95,109.96,97.11,1
1.32,21.97,54.89,5.82,16.82,244.63,89.19,24.09,26.57,2.79,100.27,152.25,5.55,100.79,99.45,4
1.38,14.2,54.62,5.7,20.58,223.05,66.1,27.4,22.3,3.43,95.17,147.64,4.04,102.19,95.18,5
0.71,17.29,53.59,5.69,10.47,0,71.4,42.76,17.17,2.79,80.6,152.66,4.94,101.13,95.91,1
0,13.63,37.76,0,13.64,302.17,131.21,106.07,26.79,3.36,89.32,140.56,3.55,100.09,96.07,2
1.41,12.04,43.97,7.45,14.81,374.23,0,0,16.76,3.16,100.47,118.02,3.86,116.7,0,10
1.49,16.22,38.6,5.98,12.39,316.51,193.99,127.63,13.01,3.69,97.22,142.94,4.9,111.67,95.9,7
1.61,16.48,38.22,8.27,18.41,267.19,74.14,21.24,10.16,3.5,0,149.41,3.93,104.86,97.65,5
1.72,17.7,41.89,0,14.3,264.27,97.7,28.07,22.08,3.12,108.75,123.64,4.02,113.52,99.03,10
1.51,19.41,48.61,6.61,12.18,278.51,43.01,47.65,0,0,103.45,146.53,3.93,100.89,0,4
0,12.61,45.98,7.17,16.15,352.24,15.05,55.25,14.98,0,79.46,142.26,3.95,110.25,97.69,1
0.92,12.75,41.74,0,8.74,401.56,79.63,48.32,18.79,0,0,153.32,6.33,109.29,97.71,11
1.69,16.68,41.0,5.68,0,418.0,148.35,145.18,25.41,3.84,104.91,138.14,3.54,111.68,98.46,7
1.15,14.78,43.71,7.68,39.05,171.45,84.47,0,7.12,3.43,80.82,149.58,3.6,104.16,99.12,6
1.77,0,44.09,8.19,16.22,168.55,24.4,55.31,14.72,3.94,103.15,148.92,6.81,0,95.84,11
0.69,19.99,37.34,5.54,14.21,335.79,22.59,64.64,22.89,3.37,87.02,153.5,5.12,111.91,96.76,4
0.49,14.54,39.95,7.11,11.03,241.73,42.98,45.54,15.39,2.72,80.69,121.38,4.83,112.53,96.32,10
0.88,14.27,51.67,7.53,6.05,181.58,75.78,64.46,0,0.71,103.61,142.9,4.24,108.85,99.36,9
1.45,13.92,40.56,7.58,15.29,0,71.72,19.98,0,1.38,117.18,151.12,3.79,105.84,95.3,9
0,16.44,44.3,5.54,57.57,0,73.67,29.12,15.85,2.64,0,153.13,5.73,110.43,0,6
0.92,16.28,48.73,6.84,7.89,420.46,103.33,22.02,18.21,3.51,116.57,145.32,0,116.51,95.39,1
1.16,12.24,43.9,6.01,6.64,204.21,167.93,142.7,0,2.86,83.56,138.06,4.11,103.76,98.96,7
1.67,20.27,48.54,8.39,8.3,345.05,41.82,42.69,16.29,3.44,117.31,149.75,5.22,110.47,95.85,4
0.86,9.25,38.27,6.18,9.88,363.38,50.31,34.1,25.21,3.75,90.32,149.26,5.55,115.57,98.14,3
1.33,0,41.11,7.66,43.86,308.31,36.45,51.88,20.91,2.93,90.48,150.03,0,113.33,96.41,6
2.61,15.32,46.16,8.38,14.92,193.37,157.57,107.86,19.45,0,79.4,140.01,3.57,101.83,99.61,2
0.83,13.29,43.37,7.92,0,210.84,32.52,37.59,26.41,3.97,84.13,152.71,3.82,105.65,99.88,6
1.32,14.34,38.68,0,56.24,191.09,85.38,0,11.75,3.39,113.83,142.87,5.55,116.26,97.19,6
0,0,47.99,6.4,14.31,399.17,139.52,0,24.46,3.93,105.4,152.46,3.69,116.08,95.76,2
1.05,9.46,40.78,8.11,8.16,340.77,16.8,37.56,14.5,0,107.44,147.13,0,108.17,97.86,3
1.16,15.23,42.64,8.4,10.57,318.78,61.82,0,25.56,2.61,149.27,142.95,5.7,102.2,96.68,8
0.57,0,39.65,7.42,13.82,0,0,0,25.34,0,75.81,127.25,3.87,110.14,95.8,10
1.73,12.96,42.9,5.71,6.88,343.85,202.24,144.49,20.22,3.03,0,141.48,4.89,113.04,0,7
1.01,19.16,0,6.82,9.29,413.75,26.72,0,24.63,3.09,75.68,153.36,3.6,103.33,97.64,4
1.19,14.87,43.82,7.92,20.21,0,72.64,53.19,23.52,0,103.03,145.7,3.54,101.15,95.59,5
0.9,15.87,43.36,0,8.47,374.29,0,41.79,9.99,3.7,116.7,143.55,6.52,116.96,0,11
1.16,17.19,39.16,8.32,9.5,380.61,79.29,0,14.95,3.57,94.77,118.3,3.88,116.08,97.11,10
0,14.37,51.03,5.64,0,300.34,61.18,27.3,14.85,3.33,78.85,125.95,5.27,108.69,99.37,10
1.28,13.79,50.81,8.07,7.96,323.07,68.34,35.51,18.02,3.87,0,138.65,7.35,111.11,97.62,11
1.11,13.13,40.66,6.24,64.73,374.56,94.34,16.14,12.74,3.31,102.51,145.0,4.48,101.49,98.99,6
1.69,10.52,43.33,5.69,10.71,297.87,58.96,37.25,11.98,3.72,80.46,151.2,5.38,116.27,0,3
1.49,15.58,47.27,0,20.28,389.09,34.76,16.54,17.73,3.06,118.93,153.06,4.23,113.23,96.83,5
0.57,16.34,37.96,0,0,350.5,58.49,25.23,17.22,2.68,81.24,125.15,4.22,102.82,96.27,10
1.72,12.84,48.21,5.9,12.7,268.62,0,35.16,19.58,3.63,163.97,150.05,3.52,105.76,96.68,8
3.41,15.17,48.38,7.87,10.06,333.85,151.3,102.03,8.22,3.26,95.13,138.97,4.28,107.85,97.49,2
1.71,15.14,41.05,7.99,6.97,197.25,26.08,0,11.42,3.93,107.03,138.96,3.91,106.32,0,1
0.58,14.51,42.64,6.29,21.43,179.35,44.3,38.77,9.72,3.55,0,150.71,3.65,103.08,96.57,5
1.49,12.54,46.1,6.4,63.71,380.11,0,58.99,15.45,3.89,85.95,151.06,5.46,114.92,96.86,6
1.04,15.69,39.16,8.47,14.99,235.28,100.51,63.41,0,0,110.2,146.37,3.69,107.99,95.42,9
1.32,17.1,48.21,7.03,32.21,272.93,38.35,17.67,7.33,2.98,96.15,151.99,4.18,115.83,99.21,6
2.3,14.61,53.93,7.33,12.55,231.72,131.09,98.27,21.97,2.69,0,149.93,4.05,105.1,96.07,2
1.55,16.41,46.52,5.86,7.43,319.5,0,46.64,17.73,3.52,114.85,121.76,5.23,101.14,0,10
0.92,12.02,41.03,5.74,7.68,348.71,52.44,43.42,22.05,0,78.34,150.87,5.52,110.61,97.35,1
1.15,12.83,39.3,6.46,55.83,360.68,75.12,27.03,15.62,3.01,117.82,144.74,3.67,104.04,98.01,6
1.41,0,39.78,8.41,9.69,393.86,152.83,153.39,12.16,3.33,93.72,0,0,105.19,96.27,7
1.1,14.42,49.87,6.33,8.68,180.61,0,49.75,23.59,3.65,152.68,0,3.78,109.37,97.44,8
0.73,12.3,43.53,8.31,10.35,425.23,79.64,0,14.23,1.13,93.64,140.47,5.76,104.63,98.6,9
0.47,20.72,0,7.5,0,0,73.48,56.27,9.43,3.08,101.52,147.41,0,102.75,98.12,4
1.41,17.13,47.27,7.76,0,355.16,0,147.49,26.07,3.51,108.54,146.23,5.48,112.48,95.69,7
0.5,17.1,41.34,5.97,35.37,305.69,24.11,42.4,13.33,0,82.47,142.18,4.53,108.22,98.13,6
0.48,13.43,38.77,6.84,6.51,377.86,37.92,16.89,20.38,3.97,145.56,153.68,0,111.35,97.69,8
1.77,14.76,0,6.0,57.45,248.01,65.19,37.09,7.48,2.84,80.34,151.69,4.71,107.56,97.79,6
1.76,16.93,40.09,7.22,9.32,389.65,51.57,48.16,18.76,1.43,0,0,5.35,0,0,9
1.14,16.06,37.85,5.56,12.7,393.35,181.22,152.91,13.99,3.82,81.08,148.71,4.98,102.76,96.6,7
0.78,14.38,51.96,7.65,16.78,371.65,35.99,46.93,15.12,3.53,96.85,143.05,4.8,112.19,98.69,1
1.34,12.51,43.08,0,0,389.45,85.63,63.73,24.52,3.31,117.73,0,5.47,105.94,96.28,1
2.53,13.11,44.0,6.45,16.9,308.83,147.59,107.1,21.41,3.81,116.15,151.56,4.67,0,0,2
1.07,17.2,42.92,0,21.49,368.15,53.52,0,22.95,3.39,102.07,138.13,4.46,113.66,96.43,5
0,17.18,53.55,8.35,8.01,378.06,175.93,132.22,10.65,3.68,94.5,148.24,0,117.11,97.51,7
1.0,15.19,40.79,7.91,18.61,383.06,16.34,36.58,11.48,2.8,0,145.79,5.02,107.89,0,5
0.98,19.65,53.75,8.35,8.96,305.54,56.84,64.43,10.3,0,98.99,139.32,5.37,105.76,96.63,4
1.06,17.11,44.69,6.34,8.75,189.74,0,157.71,0,3.23,118.14,149.89,0,103.65,97.7,7
1.57,16.87,40.78,8.2,11.99,413.93,70.03,44.09,14.24,3.57,168.79,143.9,4.03,0,97.09,8
0.73,9.7,42.57,7.73,0,412.38,59.07,0,21.82,3.82,0,149.63,4.86,111.64,97.04,3
0.99,17.29,0,6.31,7.54,296.95,163.51,119.89,21.35,2.8,82.74,144.77,4.03,105.65,98.07,7
0.89,14.54,52.27,0,19.76,299.91,13.24,63.46,8.25,3.1,100.09,153.2,4.42,0,96.67,5
1.49,17.45,37.08,6.81,13.65,0,69.72,24.65,11.68,2.75,96.73,147.99,6.55,106.92,96.77,11
0.5,22.81,48.41,8.19,14.36,363.37,0,35.52,19.17,3.32,86.52,147.91,5.44,101.53,99.6,4
0.63,12.56,0,6.32,7.44,315.78,30.97,65.83,9.11,3.94,143.38,153.27,4.11,107.45,95.35,8
0.71,0,51.82,6.01,13.56,263.32,174.02,104.53,11.21,3.53,116.8,0,5.78,117.31,98.67,7
1.55,15.35,43.45,7.01,44.06,0,30.77,43.25,10.3,0,118.73,144.05,5.71,105.32,95.58,6
0.77,21.26,0,0,7.46,254.72,23.86,18.17,25.82,3.4,114.41,147.07,4.51,113.18,96.02,4
1.77,13.53,53.49,0,16.81,341.84,75.94,36.7,13.54,0,144.63,147.86,4.54,106.23,99.87,8
0.62,14.86,44.96,7.43,10.45,282.35,92.09,0,17.4,1.01,78.66,150.27,4.45,102.97,96.13,9
0.61,12.99,54.01,6.79,15.03,358.59,55.01,43.12,0,0.78,113.0,139.76,4.31,103.22,98.35,9
0.73,9.8,54.82,5.8,0,355.47,26.36,61.85,19.82,0,101.36,152.25,5.27,115.05,95.61,3
